Question,Answer
What is your return policy?,"Our return policy allows you to return any item within 30 days of purchase for a full refund. Items must be in their original condition and packaging."
How do I track my order?,"You can track your order by visiting our website and entering your order number in the Track Order section. You will also receive email updates with tracking information."
What payment methods do you accept?,"We accept Visa, MasterCard, American Express, PayPal, and bank transfers. All transactions are secured with SSL encryption."
How do I reset my password?,"To reset your password, click on Forgot Password on the login page and enter your registered email address. You will receive a reset link within 5 minutes."
Do you offer international shipping?,"Yes, we ship to over 50 countries worldwide. International shipping times vary between 7 to 21 business days depending on the destination."
How can I contact customer support?,"You can reach our customer support team via email at support@example.com, by phone at 1-800-555-0199 Monday to Friday 9am to 5pm EST, or through the live chat on our website."
Can I change or cancel my order?,"Orders can be changed or cancelled within 2 hours of placement. After that, the order enters processing and changes may not be possible."
What is the delivery time for standard shipping?,"Standard shipping typically takes 5 to 7 business days within the continental US. Express shipping is available for 2 to 3 business day delivery."
Do you have a loyalty rewards program?,"Yes! Our rewards program lets you earn 1 point for every dollar spent. Points can be redeemed for discounts on future purchases. Sign up is free."
Is my personal data safe with you?,"We take data privacy very seriously. All personal data is encrypted and stored securely. We never sell your information to third parties. See our Privacy Policy for full details."
How do I apply a discount coupon?,"During checkout, you will find a Coupon Code field. Enter your code and click Apply to see the discount reflected in your order total."
What happens if I receive a damaged item?,"If you receive a damaged or defective item, please contact us within 48 hours with a photo of the damage. We will arrange a free replacement or full refund immediately."
Can I return a sale item?,"Sale items are eligible for store credit only, not cash refunds. The standard 30-day return window applies."
How do I update my billing address?,"Log into your account, go to Account Settings, and click on Billing Address to update your information."
Do you offer gift wrapping?,"Yes, gift wrapping is available for a small fee of $4.99. You can add this option and a personalized message during checkout."
What is your privacy policy?,"We collect only necessary data to provide our services. We use cookies for website functionality and analytics. We never share your personal information with third parties for marketing purposes."
How do I unsubscribe from emails?,"You can unsubscribe from marketing emails by clicking the Unsubscribe link at the bottom of any email, or by managing your notification preferences in your account settings."
Are your products eco-friendly?,"We are committed to sustainability. Many of our products are made from recycled or sustainably sourced materials. Look for the Eco-Friendly badge on product pages."
Do you have a physical store?,"Currently we are an online-only retailer. However, we have partnered with select retailers across the country. Visit our Store Locator page for locations near you."
What sizes do you offer?,"We offer sizes ranging from XS to 3XL in most clothing items. Please refer to the detailed size chart on each product page for accurate measurements."
